"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",925,917,933,609,603,620,706,700,716,868,862,880,1065,1057,1083,1310,1291,1335,11106,7152,504
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",987,978,996,654,647,664,766,759,776,932,925,943,1139,1132,1156,1372,1344,1402,11437,7430,461
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1027,1018,1035,667,662,677,773,766,782,964,953,974,1198,1186,1211,1472,1459,1500,22955,14593,605
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1095,1089,1102,725,720,730,841,832,850,1022,1014,1035,1280,1269,1288,1531,1517,1555,23071,15107,620
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1342,1334,1350,858,845,860,1043,1030,1057,1295,1286,1312,1578,1565,1599,1850,1828,1882,14925,9246,604
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1441,1431,1452,917,903,930,1133,1120,1147,1403,1390,1418,1696,1682,1715,1967,1937,1994,14957,9478,580
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1579,1560,1598,1046,1009,1070,1225,1210,1245,1466,1450,1500,1858,1820,1900,2270,2220,2320,35586,6336,1210
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1692,1678,1706,1080,1063,1100,1300,1281,1325,1578,1559,1600,1992,1966,2022,2437,2400,2474,35728,7237,1786
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1856,1833,1878,1130,1095,1166,1392,1369,1410,1713,1691,1741,2206,2169,2245,2725,2670,2787,51225,8700,1260
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2006,1989,2024,1239,1212,1251,1492,1467,1516,1875,1850,1900,2400,2363,2437,2950,2898,3000,50539,9132,1836
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2321,2291,2352,1400,1370,1450,1714,1669,1754,2171,2128,2200,2750,2700,2820,3428,3320,3520,25972,4545,1053
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2450,2424,2476,1451,1420,1495,1798,1759,1837,2300,2272,2350,2948,2898,3010,3596,3541,3670,25502,4670,1514
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1211,1172,1251,925,912,998,1045,954,1098,1146,1122,1185,1313,1250,1355,1535,1408,1657,420,280,24
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1232,1189,1275,1045,1045,1071,1090,1061,1110,1160,1120,1203,1316,1204,1475,1499,1380,1728,372,159,13
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1387,1323,1451,1087,996,1172,1182,1171,1292,1305,1285,1439,1537,1464,1575,1727,1568,1921,607,360,13
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1505,1467,1542,1271,1195,1333,1350,1327,1372,1455,1410,1500,1650,1500,1707,1870,1800,1900,446,234,15
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1635,1572,1698,1254,1208,1271,1372,1275,1460,1530,1490,1628,1768,1729,1806,2041,1863,2207,532,304,12
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1777,1739,1814,1408,1372,1448,1504,1494,1606,1744,1720,1797,1960,1855,1980,2107,2073,2148,372,234,4
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2095,2004,2186,1650,1492,1819,1869,1750,1988,2060,1950,2180,2312,2179,2490,2529,2274,2837,1078,208,36
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2377,2272,2483,1638,1210,2006,2100,2008,2202,2302,2202,2490,2693,2549,2849,3125,2874,3500,1123,193,39
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2823,2626,3021,2102,1728,2599,2534,2132,2685,2799,2634,3017,3130,2960,3287,3338,3068,4623,1055,133,26
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2854,2725,2984,2433,2224,2640,2609,2469,2677,2755,2686,2950,3091,2908,3289,3487,3208,3657,1248,259,44
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",3383,3252,3514,2826,2751,3170,3071,2829,3314,3354,3165,3510,3543,3506,3629,3791,3597,4152,617,144,21
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",3523,3342,3704,2545,2092,3313,3318,2813,3481,3481,3402,3579,3861,3500,4510,4547,3952,5024,508,61,26
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",930,913,947,597,582,624,695,679,715,859,837,894,1083,1051,1121,1347,1312,1440,1924,1174,103
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",980,960,999,633,613,646,728,714,751,891,874,925,1137,1108,1172,1384,1323,1478,1976,1258,82
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1018,989,1048,643,627,667,742,723,763,918,893,945,1187,1150,1218,1520,1438,1570,3520,2205,74
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1076,1057,1094,689,679,695,779,762,812,970,946,996,1308,1251,1351,1572,1524,1660,3779,2504,95
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1333,1311,1355,834,762,881,995,927,1025,1236,1217,1270,1592,1544,1644,1907,1819,2014,1567,937,49
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1433,1399,1468,878,844,915,1081,1050,1123,1357,1300,1402,1731,1625,1826,2100,1919,2212,1665,1014,66
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1729,1696,1762,1216,1172,1260,1400,1382,1430,1600,1560,1690,2050,1974,2116,2389,2325,2480,11258,1892,370
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1824,1796,1851,1240,1203,1265,1428,1395,1459,1732,1684,1769,2112,2052,2187,2529,2445,2583,10824,2203,560
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2037,1989,2086,1362,1269,1410,1572,1518,1610,1943,1870,2000,2360,2300,2450,2858,2700,3009,13397,2104,347
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2205,2168,2242,1445,1400,1492,1716,1650,1757,2090,2028,2123,2550,2460,2620,3085,2988,3199,12682,2242,471
