"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,1,"1","Kreis 1",0,"00","Grundtarif",38.1,17.4,65.5
1999,1,"1","Kreis 1",1,"01","Verheiratetentarif",83.5,52,131.7
1999,1,"1","Kreis 1",2,"02","Einelternfamilientarif",48.6,26.65,87.35
1999,2,"2","Kreis 2",0,"00","Grundtarif",38,20,58.4
1999,2,"2","Kreis 2",1,"01","Verheiratetentarif",69.8,49.1,101.5
1999,2,"2","Kreis 2",2,"02","Einelternfamilientarif",39.2,22,58.9
1999,3,"3","Kreis 3",0,"00","Grundtarif",32.9,17.7,50
1999,3,"3","Kreis 3",1,"01","Verheiratetentarif",59,40.4,80
1999,3,"3","Kreis 3",2,"02","Einelternfamilientarif",33.1,18.1,46.1
1999,4,"4","Kreis 4",0,"00","Grundtarif",29.1,14.8,46.3
1999,4,"4","Kreis 4",1,"01","Verheiratetentarif",51.6,34.9,70.8
1999,4,"4","Kreis 4",2,"02","Einelternfamilientarif",30.1,14.3,45
1999,5,"5","Kreis 5",0,"00","Grundtarif",32.8,16.3,50
1999,5,"5","Kreis 5",1,"01","Verheiratetentarif",54,37.1,74
1999,5,"5","Kreis 5",2,"02","Einelternfamilientarif",30.35,16.9,47
1999,6,"6","Kreis 6",0,"00","Grundtarif",38.1,19.5,59.6
1999,6,"6","Kreis 6",1,"01","Verheiratetentarif",70.1,48.5,104.2
1999,6,"6","Kreis 6",2,"02","Einelternfamilientarif",38.1,22,60.4
1999,7,"7","Kreis 7",0,"00","Grundtarif",41.8,18.4,66.3
1999,7,"7","Kreis 7",1,"01","Verheiratetentarif",91,58.4,149.5
1999,7,"7","Kreis 7",2,"02","Einelternfamilientarif",45.7,26.1,73.4
1999,8,"8","Kreis 8",0,"00","Grundtarif",40.9,20.1,63.1
1999,8,"8","Kreis 8",1,"01","Verheiratetentarif",78,51.2,121.4
1999,8,"8","Kreis 8",2,"02","Einelternfamilientarif",41.5,24.6,61.5
1999,9,"9","Kreis 9",0,"00","Grundtarif",34,19,50
1999,9,"9","Kreis 9",1,"01","Verheiratetentarif",59.1,44,80.5
1999,9,"9","Kreis 9",2,"02","Einelternfamilientarif",34.1,18.3,47.1
1999,10,"10","Kreis 10",0,"00","Grundtarif",38.5,20,57.4
1999,10,"10","Kreis 10",1,"01","Verheiratetentarif",69,49.6,98.6
1999,10,"10","Kreis 10",2,"02","Einelternfamilientarif",37.8,20.9,54.5
1999,11,"11","Kreis 11",0,"00","Grundtarif",33.8,18.4,50
1999,11,"11","Kreis 11",1,"01","Verheiratetentarif",60,42.3,81.9
1999,11,"11","Kreis 11",2,"02","Einelternfamilientarif",34,19.9,49.2
1999,12,"12","Kreis 12",0,"00","Grundtarif",28.4,15.7,43.1
1999,12,"12","Kreis 12",1,"01","Verheiratetentarif",55.05,40,72.1
1999,12,"12","Kreis 12",2,"02","Einelternfamilientarif",30.3,15,42.65
2000,1,"1","Kreis 1",0,"00","Grundtarif",40.9,18.5,69.9
2000,1,"1","Kreis 1",1,"01","Verheiratetentarif",89.8,54.4,140.6
2000,1,"1","Kreis 1",2,"02","Einelternfamilientarif",54.1,27.1,93.4
2000,2,"2","Kreis 2",0,"00","Grundtarif",39.5,20.1,61
2000,2,"2","Kreis 2",1,"01","Verheiratetentarif",72.6,51.2,106.7
2000,2,"2","Kreis 2",2,"02","Einelternfamilientarif",41.15,23.2,59.6
2000,3,"3","Kreis 3",0,"00","Grundtarif",34.7,18.5,52.4
2000,3,"3","Kreis 3",1,"01","Verheiratetentarif",60.3,42,82.2
2000,3,"3","Kreis 3",2,"02","Einelternfamilientarif",33.9,17.5,48.5
2000,4,"4","Kreis 4",0,"00","Grundtarif",30.3,15.5,48.5
2000,4,"4","Kreis 4",1,"01","Verheiratetentarif",53.9,36,72.1
2000,4,"4","Kreis 4",2,"02","Einelternfamilientarif",32,14.7,46.3
2000,5,"5","Kreis 5",0,"00","Grundtarif",35.1,18.3,53.7
2000,5,"5","Kreis 5",1,"01","Verheiratetentarif",56.5,40.1,77.2
2000,5,"5","Kreis 5",2,"02","Einelternfamilientarif",33.85,21.1,45.9
2000,6,"6","Kreis 6",0,"00","Grundtarif",39.8,20.3,62.1
2000,6,"6","Kreis 6",1,"01","Verheiratetentarif",74.5,51.1,112.3
2000,6,"6","Kreis 6",2,"02","Einelternfamilientarif",40.2,24.1,58.5
2000,7,"7","Kreis 7",0,"00","Grundtarif",43.4,19.5,70
2000,7,"7","Kreis 7",1,"01","Verheiratetentarif",97.8,61.3,165.4
2000,7,"7","Kreis 7",2,"02","Einelternfamilientarif",50.6,29.5,83
2000,8,"8","Kreis 8",0,"00","Grundtarif",43.8,21.6,67.4
2000,8,"8","Kreis 8",1,"01","Verheiratetentarif",83.45,55.9,130
2000,8,"8","Kreis 8",2,"02","Einelternfamilientarif",44.5,23.7,67.2
2000,9,"9","Kreis 9",0,"00","Grundtarif",35,19.8,51.8
2000,9,"9","Kreis 9",1,"01","Verheiratetentarif",61.3,45.5,83.3
2000,9,"9","Kreis 9",2,"02","Einelternfamilientarif",34.1,19.2,48.2
2000,10,"10","Kreis 10",0,"00","Grundtarif",40.1,20.6,60
2000,10,"10","Kreis 10",1,"01","Verheiratetentarif",72.1,51.1,103.5
2000,10,"10","Kreis 10",2,"02","Einelternfamilientarif",39.1,23,55.3
2000,11,"11","Kreis 11",0,"00","Grundtarif",35,18.8,52
2000,11,"11","Kreis 11",1,"01","Verheiratetentarif",61.9,44.2,84.7
2000,11,"11","Kreis 11",2,"02","Einelternfamilientarif",35.8,20.3,52.1
2000,12,"12","Kreis 12",0,"00","Grundtarif",29.8,16.5,44.5
2000,12,"12","Kreis 12",1,"01","Verheiratetentarif",56.6,40.9,74.4
2000,12,"12","Kreis 12",2,"02","Einelternfamilientarif",30.6,15.6,44.1
2001,1,"1","Kreis 1",0,"00","Grundtarif",42.4,18.1,72.8
2001,1,"1","Kreis 1",1,"01","Verheiratetentarif",94.95,57.5,157.3
2001,1,"1","Kreis 1",2,"02","Einelternfamilientarif",54.8,32.6,120.4
2001,2,"2","Kreis 2",0,"00","Grundtarif",41,21,63.9
2001,2,"2","Kreis 2",1,"01","Verheiratetentarif",76,53.1,112.2
2001,2,"2","Kreis 2",2,"02","Einelternfamilientarif",42.2,24.95,63.8
2001,3,"3","Kreis 3",0,"00","Grundtarif",36.1,19.7,54.7
2001,3,"3","Kreis 3",1,"01","Verheiratetentarif",62.4,43.5,85.2
2001,3,"3","Kreis 3",2,"02","Einelternfamilientarif",35.7,19.3,51
2001,4,"4","Kreis 4",0,"00","Grundtarif",32.2,17,50.4
2001,4,"4","Kreis 4",1,"01","Verheiratetentarif",55.35,37.15,73.8
2001,4,"4","Kreis 4",2,"02","Einelternfamilientarif",34,16.5,47.75
2001,5,"5","Kreis 5",0,"00","Grundtarif",36.9,18.7,56.5
2001,5,"5","Kreis 5",1,"01","Verheiratetentarif",58.8,41.5,79.2
2001,5,"5","Kreis 5",2,"02","Einelternfamilientarif",35.5,20,49.4
2001,6,"6","Kreis 6",0,"00","Grundtarif",41.4,20.8,65
2001,6,"6","Kreis 6",1,"01","Verheiratetentarif",77.7,52.8,120.5
2001,6,"6","Kreis 6",2,"02","Einelternfamilientarif",41.8,24.9,61.7
2001,7,"7","Kreis 7",0,"00","Grundtarif",44.9,20.2,71.9
2001,7,"7","Kreis 7",1,"01","Verheiratetentarif",101.4,63.75,168.45
2001,7,"7","Kreis 7",2,"02","Einelternfamilientarif",52.25,30.65,83.8
2001,8,"8","Kreis 8",0,"00","Grundtarif",45.6,22.7,70.1
2001,8,"8","Kreis 8",1,"01","Verheiratetentarif",86.6,58.2,139.3
2001,8,"8","Kreis 8",2,"02","Einelternfamilientarif",51.7,29.15,77.35
2001,9,"9","Kreis 9",0,"00","Grundtarif",36.7,20.3,53.7
2001,9,"9","Kreis 9",1,"01","Verheiratetentarif",63.45,46.6,86
2001,9,"9","Kreis 9",2,"02","Einelternfamilientarif",36.5,20.1,50.55
2001,10,"10","Kreis 10",0,"00","Grundtarif",42.1,21.7,62.6
2001,10,"10","Kreis 10",1,"01","Verheiratetentarif",75,53.8,108
2001,10,"10","Kreis 10",2,"02","Einelternfamilientarif",40.9,25.3,59.3
2001,11,"11","Kreis 11",0,"00","Grundtarif",36.1,19.6,54.2
2001,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.3,45.4,88.4
2001,11,"11","Kreis 11",2,"02","Einelternfamilientarif",36.9,21.3,54
2001,12,"12","Kreis 12",0,"00","Grundtarif",30.8,17,45.9
2001,12,"12","Kreis 12",1,"01","Verheiratetentarif",58.9,42.5,76.9
2001,12,"12","Kreis 12",2,"02","Einelternfamilientarif",32.4,16.9,46.2
2002,1,"1","Kreis 1",0,"00","Grundtarif",42,18.2,72.7
2002,1,"1","Kreis 1",1,"01","Verheiratetentarif",92.2,56.4,153.2
2002,1,"1","Kreis 1",2,"02","Einelternfamilientarif",55.9,30.3,112.2
2002,2,"2","Kreis 2",0,"00","Grundtarif",40.8,20.4,63.6
2002,2,"2","Kreis 2",1,"01","Verheiratetentarif",75.9,53,113
2002,2,"2","Kreis 2",2,"02","Einelternfamilientarif",43.8,24.9,66.8
2002,3,"3","Kreis 3",0,"00","Grundtarif",36.2,18.9,55
2002,3,"3","Kreis 3",1,"01","Verheiratetentarif",61.9,42.9,85.5
2002,3,"3","Kreis 3",2,"02","Einelternfamilientarif",36.2,20.3,52.6
2002,4,"4","Kreis 4",0,"00","Grundtarif",32,16.2,50.5
